gene_name	sample	cnval	status
Pik3r1	MD7031e	-1	Loss
Pik3r1	MD7039a	-1	Loss
Pik3r1	MD7031a	-4.32192809488736	Deletion
Pik3r1	MD7034a	-1	Loss
Pik3r1	MD7037a	-1	Loss
Pik3r1	MD7036a	-1	Loss
Pik3r1	MD7037c	-1	Loss
Pms2	MD7032c	-1	Loss
Pms2	MD7031a	-1	Loss
Pold1	MD7031c	-1	Loss
Pold1	MD7032c	-1	Loss
Pold1	MD7034a	-1	Loss
Pold1	MD7040c	-1	Loss
Pold1	MD7031f	-1	Loss
Pold1	MD7035d	-1	Loss
Pold1	MD7031d	-1	Loss
Pold1	MD7031e	-1	Loss
Pold1	MD7030a	-1	Loss
Pold1	MD7039a	-1	Loss
Pold1	MD7037a	-4.32192809488736	Deletion
Pold1	MD7037c	-1	Loss
Pold1	MD7033a	-4.32192809488736	Deletion
Pold1	MD7028a	-1	Loss
Pold1	MD7038a	-1	Loss
Pold1	MD7040a	-4.32192809488736	Deletion
Pole	MD7040a	-1	Loss
Pole	MD7032c	-1	Loss
Pole	MD7031a	-1	Loss
Prdm2	MD7032c	-1	Loss
Prdm2	MD7031a	-1	Loss
Ptprf	MD7037a	-1	Loss
Ptprf	MD7031a	-1	Loss
Ptprf	MD7038d	-1	Loss
Ptprf	MD7035d	-1	Loss
Ptprf	MD7034a	-1	Loss
Radil	MD7032c	-1	Loss
Radil	MD7034a	-1	Loss
Radil	MD7035a	-1	Loss
Radil	MD7037a	-1	Loss
Radil	MD7031f	-1	Loss
Radil	MD7031a	-1	Loss
Radil	MD7028a	-1	Loss
Radil	MD7035c	-1	Loss
Rspo1	MD7031a	-1	Loss
Rspo1	MD7032c	-1	Loss
Rspo3	MD7031a	-1	Loss
Sdhb	MD7032c	-1	Loss
Sdhb	MD7040c	-2.16096404744368	Deletion
Sdhb	MD7035d	-2.66096404744368	Deletion
Sdhb	MD7031a	-2.66096404744368	Deletion
Sdhb	MD7037a	-1	Loss
Sdhb	MD7034a	-1	Loss
Sdhb	MD7037c	-1	Loss
Sdhb	MD7031f	-1	Loss
Sdhb	MD7038d	-1	Loss
Sdhb	MD7032a	-1	Loss
Sdhb	MD7031e	-1	Loss
Sfrp1	MD7031a	-1	Loss
Sfrp1	MD7030a	-1	Loss
Sfrp4	MD7038c	-1	Loss
Sfrp4	MD7036a	-1	Loss
Sfrp4	MD7031a	-4.32192809488736	Deletion
Sfrp4	MD7031e	-1	Loss
Sfrp4	MD7040a	-1	Loss
Sfrp4	MD7031c	-1	Loss
Sfrp4	MD7033a	-1	Loss
Sfrp4	MD7031d	-1	Loss
Sfrp4	MD7034a	-1	Loss
Sfrp4	MD7035d	-1	Loss
Sfrp4	MD7035e	-1	Loss
Sfrp4	MD7040c	-1	Loss
Sfrp4	MD7035a	-1	Loss
Sfrp4	MD7035c	-1	Loss
Sfrp4	MD7032a	-1	Loss
Sfrp4	MD7032c	-1	Loss
Sfrp4	MD7038d	-1	Loss
Sfrp4	MD7039a	-1	Loss
Sfrp4	MD7029a	-1	Loss
Sfrp4	MD7030a	-1	Loss
Sfrp4	MD7037a	-1	Loss
Sfrp4	MD7037c	-1	Loss
Smad2	MD7035a	-1	Loss
Smad2	MD7035d	-1	Loss
Smad2	MD7030a	-1	Loss
Smad2	MD7031a	-1	Loss
Smad2	MD7039a	-1	Loss
Smad4	MD7035a	-1	Loss
Smad4	MD7035d	-1	Loss
Smad4	MD7030a	-1	Loss
Smad4	MD7031a	-1	Loss
Smad4	MD7039a	-1	Loss
Snai2	MD7031a	-1	Loss
Srrm4	MD7032c	-1	Loss
Srrm4	MD7031a	-1	Loss
Srrm4	MD7037a	-1	Loss
Tcf7l1	MD7031a	-1	Loss
Tgfbr2	MD7038c	1.8073549220576	Amplification
Tgfbr2	MD7035c	1	Gain
Tgfbr2	MD7031f	2	Amplification
Tgfbr2	MD7040c	1.58496250072116	Amplification
Tgfbr2	MD7032a	1.32192809488736	Gain
Tgfbr2	MD7031c	1.8073549220576	Amplification
Tgfbr2	MD7038d	1.32192809488736	Gain
Tgfbr2	MD7040a	3.32192809488736	Amplification
Tgfbr2	MD7031d	2.16096404744368	Amplification
Tgfbr2	MD7036a	2.4594316186373	Amplification
Tgfbr2	MD7038a	1.58496250072116	Amplification
Tnfrsf23	MD7032c	-1	Loss
Tnks	MD7031a	-1	Loss
Tnks	MD7030a	-1	Loss
Tpo	MD7039a	-1	Loss
Trp63	MD7031a	-1	Loss
Trp73	MD7032c	-1	Loss
Trp73	MD7035d	-1	Loss
Trp73	MD7038d	-1	Loss
Trp73	MD7040c	-1	Loss
Trp73	MD7031f	-1	Loss
Trp73	MD7031a	-1	Loss
Trp73	MD7032a	-1	Loss
Trp73	MD7034a	-1	Loss
Trp73	MD7037a	-4.32192809488736	Deletion
Trp73	MD7037c	-1	Loss
Trrap	MD7032c	-1	Loss
Trrap	MD7031a	-1	Loss
Tut7	MD7038c	-1	Loss
Tut7	MD7029a	-1	Loss
Tut7	MD7035d	-1	Loss
Tut7	MD7035e	-1	Loss
Tut7	MD7040c	-1	Loss
Tut7	MD7038d	-1	Loss
Tut7	MD7034a	-1	Loss
Tut7	MD7037c	-1	Loss
Tut7	MD7037a	-1	Loss
Tut7	MD7040a	-1	Loss
Tut7	MD7031d	-1	Loss
Tut7	MD7039a	-1	Loss
Tut7	MD7033a	-1	Loss
Tut7	MD7036a	-1	Loss
Tut7	MD7031a	-1	Loss
Tut7	MD7031e	-1	Loss
Tut7	MD7030a	-1	Loss
Tut7	MD7031c	-1	Loss
Tut7	MD7035a	-1	Loss
Tut7	MD7032a	-1	Loss
Tut7	MD7032c	-1	Loss
Tut7	MD7035c	-1	Loss
Twist1	MD7039a	-1	Loss
Wnt1	MD7032c	-1	Loss
Wnt10a	MD7037a	-4.32192809488736	Deletion
Wnt10b	MD7032c	-1	Loss
Wnt11	MD7031f	-1	Loss
Wnt11	MD7040c	-1	Loss
Wnt11	MD7034a	-1	Loss
Wnt16	MD7031a	-1	Loss
Wnt2	MD7031a	-1	Loss
Wnt2	MD7034a	-1	Loss
Wnt4	MD7032c	-1	Loss
Wnt4	MD7031a	-1	Loss
Wnt4	MD7037a	-1	Loss
Wnt4	MD7034a	-1	Loss
Wnt4	MD7038d	-1	Loss
Wnt4	MD7037c	-1	Loss
Wnt5a	MD7031a	1	Gain
Wnt5b	MD7031a	-1	Loss
Wnt6	MD7037a	-2.16096404744368	Deletion
Wnt7a	MD7031a	-1	Loss
Wnt7a	MD7037a	-1	Loss
Wnt7b	MD7032c	-1	Loss
Wnt7b	MD7037a	-1	Loss
Wnt8a	MD7035a	-1	Loss
Wnt8a	MD7031a	-1	Loss
Wnt8a	MD7039a	-1	Loss
Wnt8a	MD7030a	-1	Loss
Wnt8a	MD7035d	-1	Loss
Zeb1	MD7030a	-1	Loss
Zeb1	MD7035a	-1	Loss
Zeb1	MD7035d	-1	Loss
Zfp14	MD7032c	-1	Loss
Zfp14	MD7037a	-1	Loss
Znrf3	MD7028a	-1	Loss
